osm_id,longitude,latitude
node/5489548443,77.6921859,12.9366722
node/5489548444,77.6945237,12.9383608
node/5489548445,77.6916344,12.9356996
node/5489548446,77.688577,12.932898
node/5489548447,77.685494,12.9301884
node/5489548448,77.6811662,12.9279867
node/5489548449,77.6757986,12.925453
node/5489548450,77.6718676,12.9236148
node/5489548451,77.6742627,12.92506
node/5489548452,77.6779639,12.9269077
node/5489548453,77.6743929,12.9154263
node/5489548454,77.6703047,12.9183924
node/5489548455,77.6667123,12.9199617
node/5489548456,77.6672114,12.9218208
node/5489548457,77.6708596,12.9235094
node/5489548458,77.6737231,12.9247991
node/5489548459,77.6856285,12.9307247
node/5489548460,77.6887336,12.9334919
node/5489548461,77.6915898,12.9361247
node/5489548462,77.6950511,12.9389494
node/5489548463,77.6921792,12.936197
node/5489548464,77.6891181,12.9333989
node/5489548465,77.6861494,12.9307226
node/5489548466,77.6822082,12.9285005
node/5489548467,77.6765428,12.925827
node/5489548469,77.6687435,12.9221067
node/5489548470,77.6772438,12.9266109
node/5489548471,77.6754906,12.914826
node/5489548472,77.6710506,12.9180941
node/5489548473,77.6673347,12.9196552
node/5489548474,77.6672717,12.9215525
node/5489548475,77.6701798,12.92321
node/5489548476,77.6730843,12.9245415
node/5489548478,77.6849834,12.9302668
node/5489548479,77.6881931,12.932998
node/5489548480,77.6910822,12.9356541
node/5489548481,77.6945449,12.9388869
node/5489548482,77.6925655,12.9365563
node/5489548483,77.6896271,12.9338577
node/5489548484,77.6867452,12.9312443
node/5489548485,77.6829535,12.928846
node/5489548486,77.6772666,12.9261617
node/5489548487,77.6732312,12.924232
node/5489548488,77.6696116,12.9225748
node/5489548489,77.676368,12.9261188
node/5489548490,77.6762686,12.9143675
node/5489548491,77.6718237,12.91773
node/5489548493,77.6666553,12.9212588
node/5489548494,77.6695041,12.922883
node/5489548495,77.6724512,12.9242462
node/5489548496,77.6813218,12.9284657
node/5489548497,77.684246,12.9298748
node/5489548498,77.6876557,12.932515
node/5489548499,77.6904927,12.9351959
node/5489548500,77.6939927,12.9383279
node/5489548501,77.6930992,12.9370386
node/5489548502,77.6901925,12.9343889
node/5489548503,77.6872278,12.9316965
node/5489548504,77.6836918,12.9291855
node/5489548505,77.6780318,12.9264953
node/5489548506,77.6741236,12.9246382
node/5489548507,77.6702614,12.9228643
node/5489548508,77.6756345,12.9257464
node/5489548509,77.6726156,12.9173238
node/5489548510,77.6686727,12.9189383
node/5489548511,77.6661076,12.9210035
node/5489548512,77.6688545,12.9225915
node/5489548513,77.6716995,12.9239058
node/5489548514,77.6805678,12.9281068
node/5489548515,77.6835387,12.929544
node/5489548516,77.6870979,12.9320136
node/5489548517,77.6900067,12.934686
node/5489548518,77.69332,12.9377114
node/5489548519,77.6936966,12.9375806
node/5489548520,77.6909443,12.9350668
node/5489548721,77.6878697,12.9322656
node/5489548722,77.6845917,12.9295885
node/5489548723,77.678774,12.9268524
node/5489548724,77.6748433,12.9249548
node/5489548725,77.6709915,12.9232151
node/5489548726,77.6750528,12.9254568
node/5489548727,77.67904,12.927404
node/5489548728,77.673485,12.9165212
node/5489548729,77.6693675,12.9186944
node/5489548730,77.6681086,12.9222411
node/5489548731,77.6799357,12.9277957
node/5489548732,77.6827673,12.9291698
node/5489548733,77.6864311,12.9314586
node/5489548734,77.6894278,12.9341278
node/5489548735,77.6923678,12.9368483
node/5489548736,77.6943006,12.9381419
node/5489548737,77.6914949,12.9355471
node/5489548738,77.6883684,12.9327113
node/5489548739,77.685266,12.9300215
node/5489548740,77.6794894,12.9271873
node/5489548741,77.6755882,12.9253282
node/5489548742,77.6716498,12.9235042
node/5489548743,77.6744702,12.9251669
node/5489548744,77.6782695,12.9270245
node/5489548745,77.6741482,12.9156254
node/5489548746,77.6701035,12.9184603
node/5489548747,77.6664845,12.9200406
node/5489548748,77.6674849,12.9219441
node/5489548749,77.6710617,12.9236104
node/5489548750,77.6739156,12.9248848
node/5489548751,77.682002,12.9287926
node/5489548752,77.685811,12.9308861
node/5489548753,77.6889224,12.9336668
node/5489548754,77.6917853,12.9363026
node/5489548755,77.6948795,12.9387341
node/5489548756,77.6920214,12.9360521
node/5489548757,77.6889236,12.9331993
node/5489548758,77.6859299,12.9305413
node/5489548759,77.6819367,12.92837
node/5489548760,77.676322,12.9256935
node/5489548761,77.6723385,12.9238297
node/5489548762,77.6685063,12.9220156
node/5489548763,77.6775036,12.9267197
node/5489548764,77.6754497,12.9147605
node/5489548765,77.6708084,12.9182083
node/5489548766,77.6671253,12.9197578
node/5489548767,77.6666669,12.9215626
node/5489548768,77.6703819,12.9232949
node/5489548769,77.6733272,12.924646
node/5489548770,77.685215,12.9304026
node/5489548771,77.6883769,12.93317
node/5489548772,77.6912432,12.9358004
node/5489548773,77.6947119,12.9390879
node/5489548774,77.6923977,12.9363959
node/5489548775,77.6893903,12.9336337
node/5489548776,77.6865789,12.9311001
node/5489548777,77.6826971,12.9287388
node/5489548778,77.6770274,12.9260493
node/5489548779,77.673009,12.9241471
node/5489548780,77.6694289,12.9225127
node/5489548781,77.676595,12.9262551
node/5489548782,77.6760095,12.9144615
node/5489548783,77.6715713,12.9178412
node/5489548784,77.6679742,12.9192945
node/5489548785,77.6669073,12.9213847
node/5489548786,77.6697221,12.9229952
node/5489548787,77.6726706,12.9243495
node/5489548788,77.6815655,12.9285934
node/5489548789,77.6844908,12.9300042
node/5489548790,77.6878414,12.9326818
node/5489548791,77.6907254,12.9353726
node/5489548792,77.6941631,12.9384991
node/5489548793,77.6929242,12.9368807
node/5489548794,77.6900103,12.9342251
node/5489548796,77.6834409,12.9290751
node/5489548797,77.6777745,12.9263793
node/5489548798,77.6739189,12.9245267
node/5489548799,77.6700467,12.9227872
node/5489548800,77.6758963,12.9258991
node/5489548801,77.6723597,12.9174633
node/5489548802,77.6683944,12.9190617
node/5489548803,77.6663055,12.9211043
node/5489548804,77.6690606,12.9226873
node/5489548805,77.671901,12.9239981
node/5489548806,77.6808208,12.9282346
node/5489548807,77.6837475,12.9296402
node/5489548808,77.687266,12.9321542
node/5489548809,77.6901622,12.9348415
node/5489548810,77.6935677,12.9379439
node/5489548811,77.6935071,12.9374049
node/5489548812,77.6907638,12.9349118
node/5489548813,77.6876529,12.9320365
node/5489548814,77.6842695,12.9294495
node/5489548815,77.678517,12.9267338
node/5489548816,77.6745825,12.9248384
node/5489548817,77.6707581,12.9231175
node/5489548818,77.6751956,12.9255305
node/5489548819,77.6792635,12.9275134
node/5489548820,77.6731481,12.9170438
node/5489548821,77.6691138,12.9187788
node/5489548822,77.665592,12.9207794
node/5489548823,77.6684006,12.9223732
node/5489548824,77.6801252,12.9278948
node/5489548825,77.683042,12.9292989
node/5489548826,77.6866507,12.9316418
node/5489548827,77.6896501,12.9343523
